year,country,origin,refugees,events
1999,Belgium,Chad,13,
1999,Belgium,Togo,107,
1999,Belgium,Tunisia,10,
1999,Belgium,Turkey,1758,
1999,Belgium,Uganda,11,
1999,Belgium,Ukraine,23,
1999,Belgium,Viet Nam,312,
1999,Belgium,Stateless,2,
1999,Belgium,Various/Unknown,4407,
1999,Belgium,South Africa,2,
2000,Belgium,Afghanistan,275,
2000,Belgium,Angola,338,
2000,Belgium,Albania,134,
2000,Belgium,Armenia,51,
2000,Belgium,Azerbaijan,9,
2000,Belgium,Burundi,976,
2000,Belgium,Burkina Faso,6,
2000,Belgium,Bangladesh,6,
2000,Belgium,Bulgaria,20,
2000,Belgium,Bosnia and Herzegovina,468,
2000,Belgium,Belarus,8,
2000,Belgium,Bolivia,7,
2000,Belgium,Brazil,2,
2000,Belgium,Bhutan,4,
2000,Belgium,Central African Rep.,2,
2000,Belgium,Chile,84,
2000,Belgium,China,52,
2000,Belgium,Ivory Coast,28,
2000,Belgium,Cameroon,56,
2000,Belgium,Dem. Rep. of the Congo,2058,Civil war (1994-now)
2000,Belgium,Congo,48,Civil war (1994-now)
2000,Belgium,Colombia,82,
2000,Belgium,Cuba,41,
2000,Belgium,Czech Rep.,4,
2000,Belgium,Djibouti,10,
2000,Belgium,Algeria,216,Civil War (1991-2002)
2000,Belgium,Ecuador,4,
2000,Belgium,Egypt,5,
2000,Belgium,Ethiopia,105,
2000,Belgium,Gabon,1,
2000,Belgium,Georgia,36,
2000,Belgium,Ghana,55,
2000,Belgium,Guinea,51,
2000,Belgium,Guinea-Bissau,3,
2000,Belgium,Guatemala,2,
2000,Belgium,Croatia,71,
2000,Belgium,Haiti,16,
2000,Belgium,India,51,
2000,Belgium,Iran,313,
2000,Belgium,Iraq,314,
2000,Belgium,Israel,18,
2000,Belgium,Jordan,16,
2000,Belgium,Kenya,6,
2000,Belgium,Cambodia,27,
2000,Belgium,Laos,16,
2000,Belgium,Lebanon,88,
2000,Belgium,Liberia,51,
2000,Belgium,Sri Lanka,32,
2000,Belgium,Lithuania,1,
2000,Belgium,Morocco,21,
2000,Belgium,Rep. of Moldova,6,
2000,Belgium,Mexico,1,
2000,Belgium,Macedonia,64,
2000,Belgium,Mali,3,
2000,Belgium,Myanmar,5,
2000,Belgium,Mauritania,78,
2000,Belgium,Niger,2,
2000,Belgium,Nigeria,5,
2000,Belgium,Nicaragua,3,
2000,Belgium,Nepal,2,
2000,Belgium,Oman,1,
2000,Belgium,Pakistan,210,
2000,Belgium,Peru,70,
2000,Belgium,Poland,6,
2000,Belgium,Romania,314,
2000,Belgium,Russian Federation,35,Second Tsjetseense war (1999—2010)
2000,Belgium,Rwanda,2544,Second Congo War
2000,Belgium,Sudan,19,
2000,Belgium,Senegal,9,
2000,Belgium,Sierra Leone,22,
2000,Belgium,El Salvador,2,
2000,Belgium,Somalia,263,
2000,Belgium,Serbia and Kosovo,891,
2000,Belgium,Slovenia,1,
2000,Belgium,Syrian Arab Rep.,102,
2000,Belgium,Chad,10,
2000,Belgium,Togo,107,
2000,Belgium,Tunisia,10,
2000,Belgium,Turkey,1732,
2000,Belgium,Uganda,10,
2000,Belgium,Ukraine,23,
2000,Belgium,Viet Nam,212,
2000,Belgium,Stateless,2,
2000,Belgium,Various/Unknown,5779,
2000,Belgium,South Africa,1,
2001,Belgium,Afghanistan,357,Afghanistan war (2001-now)
2001,Belgium,Angola,309,
2001,Belgium,Albania,175,
2001,Belgium,Armenia,33,
2001,Belgium,Azerbaijan,2,
2001,Belgium,Burundi,621,
2001,Belgium,Burkina Faso,2,
2001,Belgium,Bangladesh,2,
2001,Belgium,Bulgaria,22,
2001,Belgium,Bosnia and Herzegovina,173,
2001,Belgium,Belarus,9,
2001,Belgium,Bolivia,17,
2001,Belgium,Brazil,1,
2001,Belgium,Bhutan,2,
2001,Belgium,Chile,196,
2001,Belgium,China,6,
2001,Belgium,Ivory Coast,4,
2001,Belgium,Cameroon,28,
2001,Belgium,Dem. Rep. of the Congo,1432,Civil war (1994-now)
2001,Belgium,Congo,66,Civil war (1994-now)
2001,Belgium,Colombia,62,
2001,Belgium,Cabo Verde,3,
2001,Belgium,Cuba,10,
2001,Belgium,Czech Rep.,42,
2001,Belgium,Germany,7,
2001,Belgium,Dominican Rep.,1,
2001,Belgium,Algeria,166,Civil War (1991-2002)
2001,Belgium,Ecuador,4,
2001,Belgium,Egypt,3,
2001,Belgium,Estonia,6,
2001,Belgium,Ethiopia,41,
2001,Belgium,Finland,1,
2001,Belgium,Georgia,21,
2001,Belgium,Ghana,17,
2001,Belgium,Guinea,32,
2001,Belgium,Guinea-Bissau,7,
2001,Belgium,Greece,1,
2001,Belgium,Guatemala,5,
2001,Belgium,Croatia,16,
2001,Belgium,Haiti,9,
2001,Belgium,Hungary,259,
2001,Belgium,India,19,
2001,Belgium,Iran,243,
2001,Belgium,Iraq,228,
2001,Belgium,Israel,12,
2001,Belgium,Jordan,6,
2001,Belgium,Kazakhstan,2,
2001,Belgium,Kenya,6,
2001,Belgium,Cambodia,78,
2001,Belgium,Kuwait,10,
2001,Belgium,Laos,62,
2001,Belgium,Lebanon,26,
2001,Belgium,Liberia,35,
2001,Belgium,Sri Lanka,12,
2001,Belgium,Lithuania,31,
2001,Belgium,Latvia,17,
2001,Belgium,Morocco,15,
2001,Belgium,Rep. of Moldova,1,
2001,Belgium,Madagascar,1,
2001,Belgium,Macedonia,1,
2001,Belgium,Myanmar,4,
2001,Belgium,Mozambique,2,
2001,Belgium,Mauritania,33,
2001,Belgium,Namibia,1,
2001,Belgium,Niger,1,
2001,Belgium,Nigeria,3,
2001,Belgium,Pakistan,78,
2001,Belgium,Peru,25,
2001,Belgium,Poland,751,
2001,Belgium,Portugal,2,
2001,Belgium,Palestinian,27,
2001,Belgium,Romania,63,
2001,Belgium,Russian Federation,107,Second Tsjetseense war (1999—2010)
2001,Belgium,Rwanda,2094,Second Congo War
2001,Belgium,Sudan,14,
2001,Belgium,Senegal,4,
2001,Belgium,Sierra Leone,18,
2001,Belgium,Somalia,187,
2001,Belgium,Serbia and Kosovo,977,
2001,Belgium,Slovenia,7,
2001,Belgium,Syrian Arab Rep.,47,
2001,Belgium,Chad,21,
2001,Belgium,Togo,40,
2001,Belgium,Thailand,1,
2001,Belgium,Tunisia,13,
2001,Belgium,Turkey,1177,
2001,Belgium,Uganda,6,
2001,Belgium,Ukraine,188,
2001,Belgium,Uzbekistan,1,
2001,Belgium,Viet Nam,256,
2001,Belgium,Various/Unknown,1139,
2001,Belgium,South Africa,3,
2002,Belgium,Afghanistan,248,Afghanistan war (2001-now)
2002,Belgium,Angola,213,
2002,Belgium,Albania,186,
2002,Belgium,Armenia,17,
2002,Belgium,Azerbaijan,3,
2002,Belgium,Burundi,437,
2002,Belgium,Burkina Faso,4,
2002,Belgium,Bangladesh,1,
2002,Belgium,Bulgaria,19,
2002,Belgium,Bosnia and Herzegovina,151,
2002,Belgium,Belarus,13,
2002,Belgium,Bolivia,13,
2002,Belgium,Brazil,1,
2002,Belgium,Bhutan,2,
2002,Belgium,Central African Rep.,1,
2002,Belgium,Chile,149,
2002,Belgium,China,5,
2002,Belgium,Ivory Coast,5,
2002,Belgium,Cameroon,25,
2002,Belgium,Dem. Rep. of the Congo,1105,Civil war (1994-now)
2002,Belgium,Congo,54,Civil war (1994-now)
2002,Belgium,Colombia,40,
2002,Belgium,Cabo Verde,1,
2002,Belgium,Cuba,2,
2002,Belgium,Czech Rep.,35,
2002,Belgium,Germany,7,
2002,Belgium,Djibouti,8,
2002,Belgium,Dominican Rep.,1,
2002,Belgium,Algeria,117,Civil War (1991-2002)
2002,Belgium,Ecuador,4,
2002,Belgium,Egypt,3,
2002,Belgium,Spain,5,
2002,Belgium,Estonia,6,
2002,Belgium,Ethiopia,37,
2002,Belgium,Finland,1,
2002,Belgium,Georgia,23,
2002,Belgium,Ghana,7,
2002,Belgium,Guinea,31,
2002,Belgium,Guinea-Bissau,7,
2002,Belgium,Greece,1,
2002,Belgium,Guatemala,4,
2002,Belgium,Croatia,10,
2002,Belgium,Haiti,6,
2002,Belgium,Hungary,221,
2002,Belgium,India,14,
2002,Belgium,Iran,179,
2002,Belgium,Iraq,229,
2002,Belgium,Israel,8,
2002,Belgium,Jordan,6,
2002,Belgium,Kazakhstan,12,
2002,Belgium,Kenya,2,
2002,Belgium,Cambodia,47,
2002,Belgium,Kuwait,1,
2002,Belgium,Laos,48,
2002,Belgium,Lebanon,40,
2002,Belgium,Liberia,22,
2002,Belgium,Sri Lanka,7,
2002,Belgium,Lithuania,29,
2002,Belgium,Latvia,15,
2002,Belgium,Morocco,10,
2002,Belgium,Rep. of Moldova,2,
2002,Belgium,Macedonia,6,
2002,Belgium,Myanmar,3,
2002,Belgium,Mozambique,1,
2002,Belgium,Mauritania,21,
2002,Belgium,Namibia,1,
2002,Belgium,Niger,1,
2002,Belgium,Nigeria,2,
2002,Belgium,Pakistan,42,
2002,Belgium,Peru,14,
2002,Belgium,Poland,669,
2002,Belgium,Portugal,2,
2002,Belgium,Palestinian,18,
2002,Belgium,Romania,57,
2002,Belgium,Russian Federation,112,Second Tsjetseense war (1999—2010)
2002,Belgium,Rwanda,1661,Second Congo War
2002,Belgium,Sudan,16,
2002,Belgium,Senegal,3,
2002,Belgium,Sierra Leone,13,
2002,Belgium,Somalia,160,
2002,Belgium,Serbia and Kosovo,1293,
2002,Belgium,Slovenia,1,
2002,Belgium,Syrian Arab Rep.,31,
2002,Belgium,Chad,22,
2002,Belgium,Togo,25,
2002,Belgium,Thailand,1,
2002,Belgium,Tibetan,1,
2002,Belgium,Tunisia,12,
2002,Belgium,Turkey,739,
2002,Belgium,Uganda,1,
2002,Belgium,Ukraine,173,
2002,Belgium,Uruguay,5,
2002,Belgium,Uzbekistan,9,
2002,Belgium,Viet Nam,170,
2002,Belgium,Stateless,322,
2002,Belgium,Various/Unknown,3069,
2002,Belgium,South Africa,2,
2003,Belgium,Afghanistan,541,Afghanistan war (2001-now)
2003,Belgium,Angola,166,
2003,Belgium,Albania,195,
2003,Belgium,Armenia,15,
2003,Belgium,Azerbaijan,3,
2003,Belgium,Burundi,344,
2003,Belgium,Benin,1,
2003,Belgium,Burkina Faso,4,
2003,Belgium,Bangladesh,,
2003,Belgium,Bulgaria,19,
2003,Belgium,Bosnia and Herzegovina,143,
2003,Belgium,Belarus,62,
2003,Belgium,Bolivia,13,
2003,Belgium,Brazil,1,
2003,Belgium,Bhutan,2,
2003,Belgium,Central African Rep.,12,
2003,Belgium,Chile,124,
2003,Belgium,China,10,
2003,Belgium,Ivory Coast,14,
2003,Belgium,Cameroon,22,
2003,Belgium,Dem. Rep. of the Congo,1000,Civil war (1994-now)
2003,Belgium,Congo,44,Civil war (1994-now)
2003,Belgium,Colombia,19,
2003,Belgium,Cuba,1,
2003,Belgium,Czech Rep.,33,
2003,Belgium,Germany,6,
2003,Belgium,Djibouti,24,
2003,Belgium,Dominican Rep.,1,
2003,Belgium,Algeria,144,
2003,Belgium,Ecuador,,
2003,Belgium,Egypt,3,
2003,Belgium,Spain,3,
2003,Belgium,Estonia,4,
2003,Belgium,Ethiopia,26,
2003,Belgium,Georgia,37,
2003,Belgium,Ghana,7,
2003,Belgium,Guinea,28,
2003,Belgium,Guinea-Bissau,,
2003,Belgium,Greece,1,
2003,Belgium,Guatemala,2,
2003,Belgium,Guyana,,
2003,Belgium,Croatia,13,
2003,Belgium,Haiti,6,
2003,Belgium,Hungary,196,
2003,Belgium,India,10,
2003,Belgium,Iran,171,
2003,Belgium,Iraq,209,Iraq war (2002-2011)
2003,Belgium,Israel,5,
2003,Belgium,Jordan,5,
2003,Belgium,Kazakhstan,17,
2003,Belgium,Kenya,1,
2003,Belgium,Kyrgyzstan,1,
2003,Belgium,Cambodia,41,
2003,Belgium,Laos,37,
2003,Belgium,Lebanon,32,
2003,Belgium,Liberia,24,
2003,Belgium,Libya,,
2003,Belgium,Sri Lanka,6,
2003,Belgium,Lithuania,28,
2003,Belgium,Latvia,21,
2003,Belgium,Morocco,8,
2003,Belgium,Rep. of Moldova,3,
2003,Belgium,Macedonia,20,
2003,Belgium,Myanmar,2,
2003,Belgium,Mongolia,,
2003,Belgium,Mauritania,17,
2003,Belgium,Namibia,1,
2003,Belgium,Niger,2,
2003,Belgium,Nigeria,2,
2003,Belgium,Nepal,4,Nepalese Burgeroorlog (1996-2006)
2003,Belgium,Pakistan,26,
2003,Belgium,Peru,10,
2003,Belgium,Poland,595,
2003,Belgium,Portugal,1,
2003,Belgium,Palestinian,25,
2003,Belgium,Romania,48,
2003,Belgium,Russian Federation,168,Second Tsjetseense war (1999—2010)
2003,Belgium,Rwanda,1591,Second Congo War
2003,Belgium,Sudan,11,Conflict of Dafur
2003,Belgium,Senegal,4,
2003,Belgium,Sierra Leone,10,
2003,Belgium,Somalia,163,
2003,Belgium,Serbia and Kosovo,1750,
2003,Belgium,Slovakia,,
2003,Belgium,Syrian Arab Rep.,19,
2003,Belgium,Chad,12,
2003,Belgium,Togo,20,
2003,Belgium,Thailand,1,
2003,Belgium,Tibetan,1,
2003,Belgium,Tajikistan,,
2003,Belgium,Turkmenistan,,
2003,Belgium,Tunisia,11,
2003,Belgium,Turkey,580,
2003,Belgium,Uganda,1,
2003,Belgium,Ukraine,152,
2003,Belgium,Uruguay,5,
2003,Belgium,Uzbekistan,21,
2003,Belgium,Viet Nam,144,
2003,Belgium,Stateless,309,
2003,Belgium,Various/Unknown,2959,
2003,Belgium,South Africa,2,
2004,Belgium,Afghanistan,536,Afghanistan war (2001-now)
2004,Belgium,Angola,134,
2004,Belgium,Albania,203,
2004,Belgium,Armenia,25,
2004,Belgium,Azerbaijan,33,
2004,Belgium,Burundi,263,
2004,Belgium,Belgium,,
2004,Belgium,Benin,1,
2004,Belgium,Burkina Faso,3,
2004,Belgium,Bangladesh,5,
2004,Belgium,Bulgaria,31,
2004,Belgium,Bosnia and Herzegovina,149,
2004,Belgium,Belarus,105,
2004,Belgium,Bolivia,12,
2004,Belgium,Brazil,1,
2004,Belgium,Bhutan,,
2004,Belgium,Central African Rep.,1,
2004,Belgium,Chile,101,
2004,Belgium,China,33,
2004,Belgium,Ivory Coast,16,
2004,Belgium,Cameroon,27,
2004,Belgium,Dem. Rep. of the Congo,878,Civil war (1994-now)
2004,Belgium,Congo,44,Civil war (1994-now)
2004,Belgium,Colombia,44,
2004,Belgium,Cuba,3,
2004,Belgium,Czech Rep.,26,
2004,Belgium,Germany,6,
2004,Belgium,Djibouti,58,
2004,Belgium,Dominican Rep.,1,
2004,Belgium,Algeria,132,
2004,Belgium,Ecuador,4,
2004,Belgium,Egypt,1,
2004,Belgium,Spain,3,
2004,Belgium,Estonia,3,
2004,Belgium,Ethiopia,23,
2004,Belgium,Gabon,,
2004,Belgium,Georgia,30,
2004,Belgium,Ghana,6,
2004,Belgium,Guinea,37,
2004,Belgium,Gambia,,
2004,Belgium,Guinea-Bissau,9,
2004,Belgium,Greece,1,
2004,Belgium,Guatemala,7,
2004,Belgium,Guyana,,
2004,Belgium,Croatia,15,
2004,Belgium,Haiti,5,
2004,Belgium,Hungary,169,
2004,Belgium,India,8,
2004,Belgium,Iran,207,
2004,Belgium,Iraq,167,Iraq war (2002-2011)
2004,Belgium,Israel,4,
2004,Belgium,Jordan,10,
2004,Belgium,Kazakhstan,32,
2004,Belgium,Kenya,2,
2004,Belgium,Kyrgyzstan,20,
2004,Belgium,Cambodia,33,
2004,Belgium,Laos,35,
2004,Belgium,Lebanon,34,
2004,Belgium,Liberia,16,
2004,Belgium,Libya,,
2004,Belgium,Sri Lanka,4,
2004,Belgium,Lithuania,25,
2004,Belgium,Latvia,21,
2004,Belgium,Morocco,8,
2004,Belgium,Rep. of Moldova,6,
2004,Belgium,Madagascar,1,
2004,Belgium,Macedonia,36,
2004,Belgium,Myanmar,4,
2004,Belgium,Mongolia,,
2004,Belgium,Mauritania,30,
2004,Belgium,Namibia,2,
2004,Belgium,Niger,4,
2004,Belgium,Nigeria,1,
2004,Belgium,Nepal,6,Nepalese Burgeroorlog (1996-2006)
2004,Belgium,Pakistan,44,
2004,Belgium,Peru,4,
2004,Belgium,Poland,525,
2004,Belgium,North Korea,,
2004,Belgium,Portugal,1,
2004,Belgium,Palestinian,26,
2004,Belgium,Romania,47,
2004,Belgium,Russian Federation,1081,Second Tsjetseense war (1999—2010)
2004,Belgium,Rwanda,1795,
2004,Belgium,Sudan,13,Conflict of Dafur
2004,Belgium,Senegal,4,
2004,Belgium,Sierra Leone,9,
2004,Belgium,El Salvador,2,
2004,Belgium,Somalia,119,
2004,Belgium,Serbia and Kosovo,1872,
2004,Belgium,Slovakia,,
2004,Belgium,Syrian Arab Rep.,80,
2004,Belgium,Chad,8,
2004,Belgium,Togo,19,
2004,Belgium,Tibetan,2,
2004,Belgium,Tajikistan,,
2004,Belgium,Turkmenistan,,
2004,Belgium,Tunisia,13,
2004,Belgium,Turkey,519,
2004,Belgium,Uganda,1,
2004,Belgium,Ukraine,144,
2004,Belgium,Uruguay,5,
2004,Belgium,Uzbekistan,41,
2004,Belgium,Viet Nam,130,
2004,Belgium,Stateless,338,
2004,Belgium,Various/Unknown,2783,
2004,Belgium,Yemen,2,
2004,Belgium,South Africa,2,
2005,Belgium,Afghanistan,381,Afghanistan war (2001-now)
2005,Belgium,Angola,122,
